"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",0,NA,NA,NA,NA,NA
"Gm19938",0,NA,NA,NA,NA,NA
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0,NA,NA,NA,NA,NA
"Sox17",0,NA,NA,NA,NA,NA
"Mrpl15",88.8372580887277,-0.0212538563829489,0.293938985321994,-0.0723070346033429,0.942357566548898,0.999931188112841
"Lypla1",251.412696469322,0.312704260090601,0.2041251697661,1.53192406624287,0.125541173928622,0.999931188112841
"Gm19860",0,NA,NA,NA,NA,NA
"Tcea1",348.311179107017,-0.0255232644611876,0.181047254382815,-0.140975705752598,0.887889134648473,0.999931188112841
"Rgs20",0,NA,NA,NA,NA,NA
"Atp6v1h",726.746017134039,-0.105259982280625,0.156623699654915,-0.672056543885385,0.501547700071707,0.999931188112841
"Oprk1",0,NA,NA,NA,NA,NA
"Npbwr1",0,NA,NA,NA,NA,NA
"Rb1cc1",293.493062395506,0.162713527296774,0.190185529485917,0.855551564499141,0.392245870891045,0.999931188112841
"Fam150a",0,NA,NA,NA,NA,NA
"St18",56.1124007293454,0.100958622012208,0.358907417663712,0.281294331193802,0.778484657906565,0.999931188112841
"Pcmtd1",356.092939112429,0.30231648942896,0.196217086353897,1.54072458747911,0.123383830070845,0.999931188112841
"Sntg1",0,NA,NA,NA,NA,NA
"Rrs1",123.012148789774,0.112144373578442,0.258788672413107,0.433343440161958,0.66476528385845,0.999931188112841
"Adhfe1",52.7727417790023,0.475516512694961,0.372685002034661,1.27592071078496,0.201983549038519,0.999931188112841
"2610203C22Rik",4.30410035880955,0.889737052897516,1.23996664776904,0.717549181260916,0.473035301466316,NA
"3110035E14Rik",0,NA,NA,NA,NA,NA
"Mybl1",4.27530002467971,-0.0335023857954303,1.19306729119655,-0.028080885330307,0.977597639358384,NA
"Vcpip1",444.220570071424,-0.0918584335103505,0.171527236784053,-0.535532637455107,0.592281595292975,0.999931188112841
"1700034P13Rik",1.39783004187744,0.694121222851716,2.16880970085543,0.320047085079865,0.748932637457081,NA
"Sgk3",151.820677953251,-0.0261223582304863,0.273553840973179,-0.0954925660614193,0.923923594701719,0.999931188112841
"Gm6195",0.395470052703573,-1.53598518888531,4.04768919340778,-0.379472117421189,0.704337305771829,NA
"6030422M02Rik",0.690642898793315,0.282238602484819,3.25191805857865,0.0867914250607469,0.930837303713993,NA
"Snhg6",16.4709028159117,-0.0850045864975158,0.647826983004029,-0.131214952028306,0.895605268215011,0.999931188112841
"Snord87",1.26766612774672,0.358858495042441,2.6307124241042,0.13641114541991,0.891496263267707,NA
"Gm10567",5.6023268520622,-0.144608274354774,1.0627739738396,-0.136066819393716,0.891768457818653,NA
